"p","U:0","U:1","U:2","Points:0","Points:1","Points:2"
0,1,0,0,30,0,0
0,1,0,0,30,0.21213,0
0,1,0,0,30,0.42426,0
0,1,0,0,30,0.6364,0
0,1,0,0,30,0.84853,0
0,1,0,0,30,1.0607,0
0,1,0,0,30,1.2728,0
0,1,0,0,30,1.4849,0
0,1,0,0,30,1.6971,0
0,1,0,0,30,1.9092,0
0,1,0,0,30,2.1213,0
0,1,0,0,30,2.3126,0
0,1,0,0,30,2.5172,0
0,1,0,0,30,2.736,0
0,1,0,0,30,2.97,0
0,1,0,0,30,3.2202,0
0,1,0,0,30,3.4878,0
0,1,0,0,30,3.7739,0
0,1,0,0,30,4.08,0
0,1,0,0,30,4.4072,0
0,1,0,0,30,4.7572,0
0,1,0,0,30,5.1314,0
0,1,0,0,30,5.5316,0
0,1,0,0,30,5.9596,0
0,1,0,0,30,6.4173,0
0,1,0,0,30,6.9068,0
0,1,0,0,30,7.4302,0
0,1,0,0,30,7.99,0
0,1,0,0,30,8.5886,0
0,1,0,0,30,9.2288,0
0,1,0,0,30,9.9134,0
0,1,0,0,30,10.645,0
0,1,0,0,30,11.428,0
0,1,0,0,30,12.266,0
0,1,0,0,30,13.161,0
0,1,0,0,30,14.119,0
0,1,0,0,30,15.142,0
0,1,0,0,30,16.237,0
0,1,0,0,30,17.409,0
0,1,0,0,30,18.661,0
0,1,0,0,30,20,0
0,1,0,0,30,-0.21213,0
0,1,0,0,30,-0.42426,0
0,1,0,0,30,-0.6364,0
0,1,0,0,30,-0.84853,0
0,1,0,0,30,-1.0607,0
0,1,0,0,30,-1.2728,0
0,1,0,0,30,-1.4849,0
0,1,0,0,30,-1.6971,0
0,1,0,0,30,-1.9092,0
0,1,0,0,30,-2.1213,0
0,1,0,0,30,-2.3126,0
0,1,0,0,30,-2.5172,0
0,1,0,0,30,-2.736,0
0,1,0,0,30,-2.97,0
0,1,0,0,30,-3.2202,0
0,1,0,0,30,-3.4878,0
0,1,0,0,30,-3.7739,0
0,1,0,0,30,-4.08,0
0,1,0,0,30,-4.4072,0
0,1,0,0,30,-4.7572,0
0,1,0,0,30,-5.1314,0
0,1,0,0,30,-5.5316,0
0,1,0,0,30,-5.9596,0
0,1,0,0,30,-6.4173,0
0,1,0,0,30,-6.9068,0
0,1,0,0,30,-7.4302,0
0,1,0,0,30,-7.99,0
0,1,0,0,30,-8.5886,0
0,1,0,0,30,-9.2288,0
0,1,0,0,30,-9.9134,0
0,1,0,0,30,-10.645,0
0,1,0,0,30,-11.428,0
0,1,0,0,30,-12.266,0
0,1,0,0,30,-13.161,0
0,1,0,0,30,-14.119,0
0,1,0,0,30,-15.142,0
0,1,0,0,30,-16.237,0
0,1,0,0,30,-17.409,0
0,1,0,0,30,-18.661,0
0,1,0,0,30,-20,0
